iter,cycles,hit
0,84,1
1,280,0
2,300,0
3,278,0
4,336,0
5,300,0
6,338,0
7,278,0
8,272,0
9,298,0
10,300,0
11,302,0
12,304,0
13,322,0
14,302,0
15,420,0
16,302,0
17,308,0
18,1418,0
19,306,0
20,296,0
21,306,0
22,296,0
23,300,0
24,298,0
25,296,0
26,366,0
27,284,0
28,328,0
29,276,0
30,274,0
31,310,0
32,302,0
33,308,0
34,300,0
35,644,0
36,280,0
37,298,0
38,304,0
39,300,0
40,302,0
41,304,0
42,302,0
43,312,0
44,344,0
45,300,0
46,324,0
47,298,0
48,296,0
49,306,0
50,306,0
51,370,0
52,298,0
53,302,0
54,308,0
55,308,0
56,302,0
57,308,0
58,298,0
59,312,0
60,302,0
61,306,0
62,300,0
63,310,0
64,310,0
65,296,0
66,342,0
67,294,0
68,304,0
69,314,0
70,312,0
71,298,0
72,322,0
73,300,0
74,314,0
75,306,0
76,302,0
77,298,0
78,308,0
79,284,0
80,320,0
81,304,0
82,306,0
83,306,0
84,302,0
85,300,0
86,280,0
87,298,0
88,298,0
89,314,0
90,304,0
91,302,0
92,306,0
93,306,0
94,308,0
95,306,0
96,294,0
97,998,0
98,294,0
99,292,0
100,296,0
101,296,0
102,298,0
103,296,0
104,296,0
105,274,0
106,322,0
107,300,0
108,294,0
109,276,0
110,298,0
111,296,0
112,298,0
113,294,0
114,298,0
115,300,0
116,296,0
117,914,0
118,296,0
119,274,0
120,296,0
121,296,0
122,300,0
123,298,0
124,298,0
125,296,0
126,298,0
127,292,0
128,300,0
129,292,0
130,294,0
131,296,0
132,292,0
133,296,0
134,296,0
135,294,0
136,296,0
137,1040,0
138,292,0
139,298,0
140,298,0
141,296,0
142,298,0
143,296,0
144,294,0
145,302,0
146,300,0
147,294,0
148,294,0
149,292,0
150,292,0
151,296,0
152,296,0
153,294,0
154,294,0
155,294,0
156,292,0
157,852,0
158,292,0
159,292,0
160,296,0
161,294,0
162,310,0
163,300,0
164,294,0
165,294,0
166,300,0
167,298,0
168,294,0
169,296,0
170,292,0
171,272,0
172,300,0
173,294,0
174,294,0
175,294,0
176,300,0
177,718,0
178,298,0
179,296,0
180,292,0
181,296,0
182,298,0
183,276,0
184,294,0
185,298,0
186,298,0
187,300,0
188,296,0
189,292,0
190,294,0
191,298,0
192,272,0
193,290,0
194,294,0
195,290,0
196,298,0
197,570,0
198,292,0
199,294,0
200,290,0
201,294,0
202,296,0
203,292,0
204,294,0
205,298,0
206,294,0
207,294,0
208,296,0
209,294,0
210,294,0
211,282,0
212,294,0
213,296,0
214,294,0
215,298,0
216,294,0
217,496,0
218,310,0
219,294,0
220,298,0
221,294,0
222,300,0
223,296,0
224,300,0
225,298,0
226,290,0
227,296,0
228,298,0
229,296,0
230,290,0
231,294,0
232,300,0
233,274,0
234,296,0
235,300,0
236,294,0
237,454,0
238,292,0
239,294,0
240,274,0
241,292,0
242,302,0
243,294,0
244,276,0
245,294,0
246,292,0
247,298,0
248,296,0
249,294,0
250,300,0
251,290,0
252,296,0
253,296,0
254,292,0
255,296,0
256,292,0
257,292,0
258,512,0
259,292,0
260,296,0
261,300,0
262,300,0
263,300,0
264,302,0
265,294,0
266,294,0
267,296,0
268,294,0
269,294,0
270,294,0
271,292,0
272,294,0
273,296,0
274,296,0
275,294,0
276,292,0
277,270,0
278,290,0
279,474,0
280,272,0
281,294,0
282,294,0
283,294,0
284,290,0
285,294,0
286,274,0
287,298,0
288,292,0
289,296,0
290,296,0
291,296,0
292,298,0
293,298,0
294,290,0
295,292,0
296,290,0
297,294,0
298,294,0
299,1360,0
300,294,0
301,294,0
302,296,0
303,296,0
304,294,0
305,294,0
306,294,0
307,296,0
308,294,0
309,298,0
310,296,0
311,312,0
312,290,0
313,296,0
314,294,0
315,300,0
316,294,0
317,294,0
318,294,0
319,290,0
320,784,0
321,294,0
322,292,0
323,292,0
324,298,0
325,292,0
326,294,0
327,296,0
328,294,0
329,294,0
330,300,0
331,300,0
332,294,0
333,292,0
334,294,0
335,292,0
336,278,0
337,296,0
338,294,0
339,294,0
340,296,0
341,636,0
342,294,0
343,296,0
344,302,0
345,292,0
346,294,0
347,292,0
348,300,0
349,296,0
