iter,cycles,hit
0,78,1
1,324,0
2,324,0
3,968,0
4,308,0
5,304,0
6,306,0
7,326,0
8,324,0
9,414,0
10,334,0
11,446,0
12,330,0
13,324,0
14,328,0
15,324,0
16,324,0
17,322,0
18,324,0
19,336,0
20,334,0
21,326,0
22,870,0
23,326,0
24,302,0
25,330,0
26,324,0
27,336,0
28,326,0
29,326,0
30,328,0
31,334,0
32,334,0
33,324,0
34,342,0
35,336,0
36,308,0
37,332,0
38,324,0
39,330,0
40,1070,0
41,324,0
42,330,0
43,340,0
44,324,0
45,326,0
46,328,0
47,322,0
48,338,0
49,328,0
50,330,0
51,332,0
52,330,0
53,328,0
54,322,0
55,334,0
56,350,0
57,326,0
58,974,0
59,334,0
60,324,0
61,324,0
62,328,0
63,324,0
64,322,0
65,330,0
66,334,0
67,346,0
68,334,0
69,324,0
70,328,0
71,330,0
72,334,0
73,326,0
74,354,0
75,326,0
76,1270,0
77,336,0
78,326,0
79,330,0
80,316,0
81,334,0
82,322,0
83,338,0
84,326,0
85,328,0
86,358,0
87,332,0
88,328,0
89,326,0
90,332,0
91,336,0
92,328,0
93,334,0
94,310,0
95,662,0
96,320,0
97,326,0
98,338,0
99,336,0
100,324,0
101,328,0
102,336,0
103,324,0
104,352,0
105,336,0
106,336,0
107,322,0
108,322,0
109,326,0
110,310,0
111,308,0
112,324,0
113,826,0
114,330,0
115,324,0
116,332,0
117,326,0
118,358,0
119,328,0
120,322,0
121,334,0
122,326,0
123,304,0
124,340,0
125,326,0
126,334,0
127,328,0
128,334,0
129,330,0
130,324,0
131,1048,0
132,336,0
133,336,0
134,328,0
135,336,0
136,326,0
137,332,0
138,328,0
139,302,0
140,330,0
141,326,0
142,330,0
143,326,0
144,306,0
145,336,0
146,310,0
147,330,0
148,336,0
149,1160,0
150,344,0
151,332,0
152,340,0
153,326,0
154,334,0
155,324,0
156,326,0
157,308,0
158,334,0
159,322,0
160,332,0
161,336,0
162,332,0
163,322,0
164,336,0
165,334,0
166,340,0
167,1374,0
168,334,0
169,334,0
170,306,0
171,448,0
172,308,0
173,326,0
174,328,0
175,332,0
176,334,0
177,358,0
178,322,0
179,306,0
180,330,0
181,334,0
182,336,0
183,330,0
184,340,0
185,334,0
186,426,0
187,330,0
188,328,0
189,326,0
190,330,0
191,326,0
192,330,0
193,340,0
194,324,0
195,322,0
196,324,0
197,334,0
198,336,0
199,328,0
200,326,0
201,340,0
202,330,0
203,326,0
204,336,0
205,470,0
206,330,0
207,334,0
208,338,0
209,306,0
210,334,0
211,328,0
212,324,0
213,338,0
214,322,0
215,328,0
216,336,0
217,336,0
218,338,0
219,328,0
220,338,0
221,338,0
222,330,0
223,336,0
224,724,0
225,328,0
226,336,0
227,336,0
228,338,0
229,324,0
230,330,0
231,326,0
232,336,0
233,334,0
234,328,0
235,324,0
236,330,0
237,328,0
238,330,0
239,340,0
240,326,0
241,328,0
242,328,0
243,848,0
244,326,0
245,330,0
246,336,0
247,326,0
248,326,0
249,330,0
250,306,0
251,326,0
252,326,0
253,328,0
254,330,0
255,308,0
256,324,0
257,336,0
258,324,0
259,326,0
260,324,0
261,322,0
262,748,0
263,334,0
264,326,0
265,336,0
266,322,0
267,328,0
268,330,0
269,336,0
270,330,0
271,348,0
272,304,0
273,324,0
