iter,cycles,hit
0,78,1
1,288,0
2,290,0
3,294,0
4,812,0
5,288,0
6,292,0
7,296,0
8,290,0
9,288,0
10,268,0
11,290,0
12,290,0
13,288,0
14,272,0
15,288,0
16,294,0
17,290,0
18,288,0
19,290,0
20,294,0
21,268,0
22,290,0
23,296,0
24,290,0
25,846,0
26,288,0
27,292,0
28,298,0
29,290,0
30,294,0
31,292,0
32,292,0
33,288,0
34,272,0
35,290,0
36,296,0
37,288,0
38,288,0
39,296,0
40,290,0
41,288,0
42,290,0
43,290,0
44,286,0
45,270,0
46,740,0
47,288,0
48,292,0
49,288,0
50,266,0
51,288,0
52,288,0
53,294,0
54,290,0
55,300,0
56,292,0
57,292,0
58,294,0
59,288,0
60,274,0
61,274,0
62,290,0
63,290,0
64,292,0
65,282,0
66,290,0
67,494,0
68,288,0
69,290,0
70,288,0
71,306,0
72,292,0
73,290,0
74,294,0
75,290,0
76,288,0
77,294,0
78,292,0
79,286,0
80,292,0
81,290,0
82,290,0
83,290,0
84,290,0
85,292,0
86,288,0
87,290,0
88,454,0
89,288,0
90,290,0
91,290,0
92,294,0
93,298,0
94,268,0
95,286,0
96,292,0
97,288,0
98,290,0
99,290,0
100,294,0
101,292,0
102,298,0
103,288,0
104,296,0
105,280,0
106,288,0
107,290,0
108,288,0
109,522,0
110,290,0
111,278,0
112,292,0
113,288,0
114,290,0
115,288,0
116,334,0
117,290,0
118,290,0
119,290,0
120,290,0
121,290,0
122,290,0
123,284,0
124,290,0
125,272,0
126,274,0
127,300,0
128,294,0
129,1158,0
130,274,0
131,294,0
132,290,0
133,288,0
134,268,0
135,290,0
136,270,0
137,320,0
138,286,0
139,288,0
140,292,0
141,286,0
142,290,0
143,294,0
144,290,0
145,288,0
146,286,0
147,288,0
148,290,0
149,1266,0
150,298,0
151,288,0
152,268,0
153,294,0
154,290,0
155,290,0
156,280,0
157,298,0
158,290,0
159,298,0
160,288,0
161,290,0
162,268,0
163,292,0
164,288,0
165,296,0
166,304,0
167,296,0
168,290,0
169,288,0
170,942,0
171,290,0
172,290,0
173,304,0
174,290,0
175,296,0
176,296,0
177,298,0
178,294,0
179,290,0
180,286,0
181,290,0
182,292,0
183,270,0
184,288,0
185,290,0
186,294,0
187,290,0
188,294,0
189,294,0
190,294,0
191,698,0
192,296,0
193,294,0
194,288,0
195,272,0
196,288,0
197,288,0
198,304,0
199,300,0
200,292,0
201,288,0
202,292,0
203,288,0
204,282,0
205,296,0
206,290,0
207,290,0
208,290,0
209,292,0
210,294,0
211,288,0
212,1064,0
213,296,0
214,290,0
215,294,0
216,288,0
217,292,0
218,292,0
219,268,0
220,290,0
221,288,0
222,308,0
223,290,0
224,290,0
225,292,0
226,292,0
227,286,0
228,294,0
229,288,0
230,288,0
231,288,0
232,290,0
233,956,0
234,288,0
235,294,0
236,314,0
237,292,0
238,290,0
239,290,0
240,294,0
241,290,0
242,294,0
243,290,0
244,290,0
245,288,0
246,294,0
247,292,0
248,288,0
249,294,0
250,272,0
251,270,0
252,330,0
253,306,0
254,670,0
255,290,0
256,286,0
257,292,0
258,288,0
259,288,0
260,294,0
261,292,0
262,288,0
263,290,0
264,286,0
265,280,0
266,286,0
267,296,0
268,290,0
269,288,0
270,288,0
271,288,0
272,292,0
273,288,0
274,290,0
275,526,0
276,294,0
277,290,0
278,288,0
279,296,0
280,292,0
281,288,0
282,286,0
283,290,0
284,290,0
285,290,0
286,290,0
287,290,0
288,288,0
289,286,0
290,292,0
291,288,0
292,294,0
293,286,0
294,288,0
295,288,0
296,486,0
297,286,0
298,288,0
299,288,0
300,292,0
301,290,0
302,288,0
303,290,0
304,288,0
305,288,0
306,292,0
307,292,0
308,288,0
309,290,0
310,286,0
311,292,0
312,288,0
313,290,0
314,288,0
315,296,0
316,290,0
317,678,0
318,290,0
319,296,0
320,288,0
321,290,0
322,286,0
323,290,0
324,288,0
325,288,0
326,288,0
327,290,0
328,294,0
329,290,0
330,288,0
331,294,0
332,322,0
333,288,0
334,290,0
335,290,0
336,290,0
337,1346,0
338,286,0
339,288,0
340,290,0
341,306,0
342,290,0
343,268,0
344,268,0
345,290,0
346,318,0
347,292,0
348,288,0
349,290,0
350,290,0
351,288,0
352,290,0
353,288,0
354,292,0
355,290,0
356,290,0
357,268,0
358,1064,0
359,286,0
360,288,0
361,290,0
362,296,0
363,290,0
364,296,0
365,332,0
366,296,0
367,286,0
368,290,0
369,288,0
370,294,0
371,286,0
372,290,0
373,288,0
374,290,0
375,290,0
376,288,0
377,290,0
378,292,0
379,906,0
380,288,0
381,290,0
382,288,0
383,290,0
384,288,0
385,290,0
386,290,0
387,318,0
388,290,0
389,288,0
390,290,0
391,290,0
392,290,0
393,290,0
394,290,0
395,294,0
396,288,0
397,290,0
398,282,0
399,294,0
400,970,0
401,298,0
402,288,0
403,290,0
404,290,0
405,290,0
406,288,0
407,290,0
408,290,0
409,288,0
410,288,0
411,294,0
412,292,0
413,290,0
414,286,0
415,290,0
416,294,0
417,294,0
418,292,0
419,298,0
420,290,0
421,286,0
422,294,0
423,270,0
424,296,0
425,290,0
426,290,0
427,294,0
428,290,0
429,290,0
430,288,0
431,1296,0
432,294,0
433,290,0
434,288,0
435,292,0
436,270,0
437,288,0
438,290,0
439,268,0
440,290,0
441,290,0
442,268,0
443,290,0
444,296,0
445,290,0
446,290,0
447,288,0
448,268,0
449,288,0
450,286,0
451,286,0
452,290,0
453,536,0
454,298,0
455,288,0
456,288,0
457,296,0
458,290,0
459,296,0
460,292,0
461,286,0
462,296,0
463,292,0
464,294,0
465,288,0
466,288,0
467,270,0
468,288,0
469,292,0
470,288,0
471,288,0
472,288,0
473,292,0
474,1214,0
475,294,0
476,288,0
477,288,0
478,290,0
479,288,0
480,290,0
481,288,0
482,294,0
483,270,0
484,288,0
485,290,0
486,290,0
487,292,0
488,290,0
489,294,0
490,288,0
491,296,0
492,288,0
493,290,0
494,294,0
495,290,0
496,546,0
497,290,0
498,292,0
499,290,0
500,288,0
501,290,0
502,290,0
503,294,0
504,292,0
505,288,0
506,292,0
507,294,0
508,288,0
509,290,0
510,288,0
511,288,0
512,296,0
513,290,0
514,290,0
515,296,0
516,290,0
517,288,0
518,540,0
519,294,0
520,288,0
521,288,0
522,296,0
523,276,0
524,274,0
525,292,0
526,288,0
527,290,0
528,290,0
529,296,0
530,288,0
531,290,0
532,292,0
533,288,0
534,290,0
535,294,0
536,290,0
537,292,0
538,290,0
539,1396,0
540,296,0
541,290,0
542,292,0
543,288,0
544,294,0
545,288,0
546,294,0
547,292,0
548,290,0
549,294,0
550,290,0
551,298,0
552,292,0
553,288,0
554,290,0
555,286,0
556,290,0
557,294,0
558,294,0
559,296,0
560,1232,0
561,288,0
562,290,0
563,290,0
564,292,0
565,290,0
566,288,0
567,290,0
568,272,0
569,296,0
570,288,0
571,294,0
572,290,0
573,294,0
574,290,0
575,288,0
576,290,0
577,296,0
578,308,0
579,290,0
580,328,0
581,1198,0
582,288,0
583,290,0
584,288,0
585,288,0
586,288,0
587,290,0
588,290,0
589,288,0
590,288,0
591,290,0
592,294,0
593,296,0
594,294,0
595,288,0
596,396,0
597,290,0
598,288,0
599,290,0
600,292,0
601,288,0
602,1232,0
603,294,0
604,304,0
605,312,0
606,290,0
607,294,0
608,290,0
609,288,0
610,290,0
611,288,0
612,296,0
613,290,0
614,288,0
615,290,0
616,290,0
617,290,0
618,290,0
619,296,0
620,294,0
621,288,0
