iter,cycles,hit
0,86,1
1,286,0
2,278,0
3,280,0
4,260,0
5,1346,0
6,280,0
7,276,0
8,286,0
9,312,0
10,282,0
11,278,0
12,282,0
13,304,0
14,278,0
15,280,0
16,310,0
17,286,0
18,284,0
19,254,0
20,284,0
21,282,0
22,278,0
23,278,0
24,278,0
25,276,0
26,1066,0
27,278,0
28,280,0
29,280,0
30,280,0
31,282,0
32,288,0
33,274,0
34,284,0
35,262,0
36,254,0
37,286,0
38,296,0
39,280,0
40,276,0
41,278,0
42,282,0
43,280,0
44,258,0
45,286,0
46,276,0
47,280,0
48,788,0
49,274,0
50,282,0
51,260,0
52,260,0
53,280,0
54,254,0
55,254,0
56,278,0
57,280,0
58,284,0
59,284,0
60,276,0
61,280,0
62,278,0
63,278,0
64,282,0
65,262,0
66,278,0
67,280,0
68,278,0
69,276,0
70,1042,0
71,272,0
72,258,0
73,280,0
74,280,0
75,278,0
76,276,0
77,278,0
78,280,0
79,270,0
80,280,0
81,286,0
82,286,0
83,260,0
84,284,0
85,280,0
86,278,0
87,276,0
88,260,0
89,278,0
90,278,0
91,276,0
92,884,0
93,280,0
94,278,0
95,280,0
96,280,0
97,258,0
98,286,0
99,260,0
100,276,0
101,278,0
102,266,0
103,278,0
104,288,0
105,280,0
106,258,0
107,280,0
108,280,0
109,294,0
110,282,0
111,278,0
112,278,0
113,276,0
114,892,0
115,286,0
116,278,0
117,278,0
118,384,0
119,282,0
120,276,0
121,280,0
122,280,0
123,276,0
124,280,0
125,278,0
126,278,0
127,278,0
128,278,0
129,278,0
130,278,0
131,278,0
132,276,0
133,276,0
134,280,0
135,274,0
136,872,0
137,262,0
138,276,0
139,282,0
140,278,0
141,256,0
142,278,0
143,278,0
144,282,0
145,280,0
146,280,0
147,258,0
148,280,0
149,278,0
150,276,0
151,276,0
152,278,0
153,276,0
154,278,0
155,280,0
156,278,0
157,280,0
158,858,0
159,280,0
160,256,0
161,280,0
162,282,0
163,280,0
164,280,0
165,280,0
166,280,0
167,308,0
168,282,0
169,276,0
170,280,0
171,280,0
172,280,0
173,282,0
174,278,0
175,284,0
176,276,0
177,280,0
178,284,0
179,258,0
180,876,0
181,276,0
182,280,0
183,284,0
184,290,0
185,284,0
186,288,0
187,278,0
188,280,0
189,258,0
190,278,0
191,276,0
192,284,0
193,276,0
194,286,0
195,282,0
196,280,0
197,280,0
198,282,0
199,278,0
200,278,0
201,276,0
202,932,0
203,274,0
204,284,0
205,288,0
206,282,0
207,278,0
208,278,0
209,282,0
210,276,0
211,282,0
212,280,0
213,276,0
214,280,0
215,280,0
216,278,0
217,278,0
218,280,0
219,280,0
220,282,0
221,282,0
222,274,0
223,280,0
224,968,0
225,278,0
226,276,0
227,280,0
228,276,0
229,274,0
230,280,0
231,278,0
232,304,0
233,276,0
234,278,0
235,282,0
236,276,0
237,280,0
238,280,0
239,282,0
240,280,0
