iter,cycles,hit
0,82,1
1,250,0
2,262,0
3,292,0
4,258,0
5,742,0
6,250,0
7,254,0
8,262,0
9,256,0
10,252,0
11,258,0
12,256,0
13,252,0
14,254,0
15,254,0
16,290,0
17,246,0
18,260,0
19,244,0
20,260,0
21,260,0
22,242,0
23,1062,0
24,244,0
25,258,0
26,248,0
27,272,0
28,250,0
29,246,0
30,266,0
31,250,0
32,248,0
33,270,0
34,248,0
35,244,0
36,354,0
37,250,0
38,246,0
39,290,0
40,244,0
41,260,0
42,926,0
43,258,0
44,786,0
45,240,0
46,244,0
47,286,0
48,270,0
49,244,0
50,326,0
51,342,0
52,280,0
53,246,0
54,268,0
55,244,0
56,296,0
57,244,0
58,242,0
59,256,0
60,388,0
61,1242,0
62,260,0
63,244,0
64,250,0
65,250,0
66,244,0
67,258,0
68,246,0
69,244,0
70,254,0
71,286,0
72,244,0
73,256,0
74,336,0
75,252,0
76,270,0
77,250,0
78,306,0
79,690,0
80,244,0
81,252,0
82,256,0
83,280,0
84,256,0
85,248,0
86,250,0
87,266,0
88,252,0
89,268,0
90,260,0
91,262,0
92,248,0
93,260,0
94,248,0
95,298,0
96,274,0
97,266,0
98,320,0
99,252,0
100,260,0
101,242,0
102,252,0
103,252,0
104,256,0
105,248,0
106,250,0
107,268,0
108,246,0
109,280,0
110,372,0
111,250,0
112,256,0
113,260,0
114,252,0
115,260,0
116,830,0
117,280,0
118,250,0
119,250,0
120,300,0
121,304,0
122,242,0
123,260,0
124,270,0
125,264,0
126,260,0
127,248,0
128,250,0
129,262,0
130,248,0
131,260,0
132,298,0
133,252,0
134,250,0
135,342,0
136,242,0
137,268,0
138,302,0
139,260,0
140,256,0
141,246,0
142,264,0
143,252,0
144,244,0
145,252,0
146,272,0
147,252,0
148,250,0
149,260,0
150,254,0
151,270,0
152,556,0
153,252,0
154,254,0
155,314,0
156,244,0
157,302,0
158,246,0
159,384,0
160,264,0
161,324,0
162,258,0
163,260,0
164,300,0
165,262,0
166,252,0
167,254,0
168,258,0
169,888,0
170,252,0
171,254,0
172,342,0
173,280,0
174,262,0
175,280,0
176,246,0
177,254,0
178,254,0
179,246,0
180,302,0
181,246,0
182,256,0
183,314,0
184,244,0
185,248,0
186,248,0
187,952,0
188,252,0
189,250,0
190,260,0
191,262,0
192,310,0
193,246,0
194,266,0
195,248,0
196,252,0
197,242,0
198,246,0
199,248,0
200,246,0
201,254,0
202,250,0
203,240,0
204,310,0
205,242,0
206,670,0
207,252,0
208,250,0
209,242,0
210,244,0
211,266,0
212,242,0
213,240,0
214,248,0
215,244,0
216,242,0
217,242,0
218,240,0
219,348,0
220,240,0
221,240,0
222,246,0
223,258,0
224,242,0
225,250,0
226,242,0
227,242,0
228,808,0
229,242,0
230,244,0
231,244,0
232,336,0
233,246,0
234,242,0
235,240,0
236,244,0
237,242,0
238,242,0
239,274,0
240,248,0
241,244,0
242,250,0
243,242,0
244,246,0
245,250,0
246,244,0
247,296,0
248,244,0
249,260,0
250,1108,0
251,240,0
252,384,0
253,242,0
254,302,0
255,240,0
256,246,0
257,252,0
258,250,0
259,250,0
260,242,0
261,246,0
262,246,0
263,248,0
264,242,0
265,254,0
266,244,0
267,260,0
268,246,0
269,242,0
270,242,0
271,244,0
272,1108,0
273,248,0
274,248,0
275,396,0
276,252,0
277,248,0
278,246,0
279,244,0
280,242,0
