iter,cycles,hit
0,78,1
1,322,0
2,1222,0
3,324,0
4,324,0
5,324,0
6,334,0
7,340,0
8,328,0
9,326,0
10,322,0
11,324,0
12,326,0
13,304,0
14,300,0
15,326,0
16,320,0
17,330,0
18,308,0
19,316,0
20,328,0
21,1182,0
22,328,0
23,336,0
24,320,0
25,340,0
26,302,0
27,320,0
28,324,0
29,304,0
30,324,0
31,322,0
32,320,0
33,322,0
34,302,0
35,352,0
36,322,0
37,306,0
38,340,0
39,322,0
40,320,0
41,480,0
42,322,0
43,320,0
44,322,0
45,318,0
46,328,0
47,324,0
48,326,0
49,330,0
50,322,0
51,316,0
52,312,0
53,322,0
54,326,0
55,320,0
56,316,0
57,324,0
58,326,0
59,324,0
60,328,0
61,536,0
62,320,0
63,328,0
64,328,0
65,322,0
66,322,0
67,326,0
68,324,0
69,324,0
70,300,0
71,320,0
72,324,0
73,324,0
74,326,0
75,322,0
76,324,0
77,324,0
78,324,0
79,322,0
80,340,0
81,668,0
82,324,0
83,326,0
84,324,0
85,322,0
86,324,0
87,320,0
88,320,0
89,326,0
90,324,0
91,322,0
92,320,0
93,328,0
94,326,0
95,318,0
96,324,0
97,320,0
98,320,0
99,320,0
100,318,0
101,402,0
102,326,0
103,324,0
104,324,0
105,322,0
106,338,0
107,304,0
108,332,0
109,300,0
110,326,0
111,326,0
112,332,0
113,328,0
114,320,0
115,320,0
116,334,0
117,324,0
118,322,0
119,326,0
120,1266,0
121,318,0
122,326,0
123,322,0
124,326,0
125,336,0
126,324,0
127,324,0
128,322,0
129,348,0
130,324,0
131,348,0
132,320,0
133,320,0
134,320,0
135,298,0
136,320,0
137,328,0
138,332,0
139,428,0
140,308,0
141,328,0
142,302,0
143,324,0
144,300,0
145,328,0
146,304,0
147,338,0
148,322,0
149,322,0
150,326,0
151,322,0
152,326,0
153,320,0
154,340,0
155,326,0
156,318,0
157,320,0
158,386,0
159,328,0
160,310,0
161,324,0
162,300,0
163,320,0
164,324,0
165,322,0
166,324,0
167,328,0
168,322,0
169,324,0
170,324,0
171,320,0
172,324,0
173,324,0
174,330,0
175,318,0
176,320,0
177,338,0
178,320,0
179,302,0
180,332,0
181,322,0
182,310,0
183,306,0
184,302,0
185,338,0
186,320,0
187,1378,0
188,354,0
189,328,0
190,326,0
191,324,0
192,320,0
193,322,0
194,320,0
195,320,0
196,326,0
197,326,0
198,320,0
199,326,0
200,328,0
201,324,0
202,322,0
203,328,0
204,320,0
205,320,0
206,1276,0
207,338,0
208,320,0
209,320,0
210,320,0
211,302,0
212,324,0
213,318,0
214,322,0
215,322,0
216,318,0
217,324,0
218,320,0
219,316,0
220,322,0
221,324,0
222,320,0
223,328,0
224,320,0
225,324,0
226,854,0
227,326,0
228,306,0
229,320,0
230,322,0
231,320,0
232,328,0
233,320,0
234,328,0
235,316,0
236,328,0
237,322,0
238,324,0
239,324,0
240,332,0
241,326,0
242,326,0
243,322,0
244,326,0
245,324,0
246,462,0
247,320,0
248,300,0
249,318,0
250,326,0
251,322,0
252,328,0
253,328,0
254,328,0
255,322,0
256,322,0
257,324,0
258,322,0
259,322,0
260,324,0
261,322,0
262,322,0
263,312,0
264,320,0
265,1390,0
266,320,0
267,322,0
268,324,0
269,320,0
270,320,0
271,324,0
272,320,0
273,322,0
274,328,0
275,326,0
276,302,0
277,322,0
278,322,0
279,324,0
