iter,cycles,hit
0,78,1
1,274,0
2,284,0
3,278,0
4,274,0
5,284,0
6,274,0
7,274,0
8,280,0
9,274,0
10,272,0
11,272,0
12,272,0
13,276,0
14,1158,0
15,274,0
16,278,0
17,270,0
18,272,0
19,272,0
20,274,0
21,286,0
22,274,0
23,272,0
24,272,0
25,274,0
26,278,0
27,272,0
28,276,0
29,274,0
30,276,0
31,278,0
32,274,0
33,278,0
34,278,0
35,276,0
36,544,0
37,280,0
38,308,0
39,274,0
40,278,0
41,272,0
42,280,0
43,256,0
44,256,0
45,274,0
46,278,0
47,274,0
48,274,0
49,274,0
50,272,0
51,278,0
52,276,0
53,270,0
54,288,0
55,276,0
56,278,0
57,274,0
58,720,0
59,274,0
60,276,0
61,274,0
62,272,0
63,274,0
64,278,0
65,276,0
66,274,0
67,272,0
68,274,0
69,336,0
70,274,0
71,278,0
72,276,0
73,254,0
74,304,0
75,276,0
76,254,0
77,254,0
78,280,0
79,276,0
80,750,0
81,276,0
82,288,0
83,278,0
84,280,0
85,276,0
86,278,0
87,254,0
88,276,0
89,278,0
90,272,0
91,276,0
92,284,0
93,276,0
94,276,0
95,276,0
96,272,0
97,276,0
98,256,0
99,278,0
100,274,0
101,272,0
102,642,0
103,274,0
104,278,0
105,276,0
106,274,0
107,272,0
108,268,0
109,254,0
110,292,0
111,274,0
112,280,0
113,282,0
114,278,0
115,284,0
116,276,0
117,272,0
118,274,0
119,276,0
120,276,0
121,278,0
122,276,0
123,278,0
124,798,0
125,276,0
126,274,0
127,276,0
128,276,0
129,278,0
130,274,0
131,278,0
132,274,0
133,276,0
134,362,0
135,272,0
136,274,0
137,276,0
138,278,0
139,274,0
140,276,0
141,276,0
142,276,0
143,272,0
144,272,0
145,274,0
146,726,0
147,276,0
148,278,0
149,272,0
150,276,0
151,252,0
152,270,0
153,304,0
154,286,0
155,270,0
156,278,0
157,280,0
158,274,0
159,272,0
160,280,0
161,256,0
162,278,0
163,276,0
164,282,0
165,274,0
166,310,0
167,496,0
168,254,0
169,262,0
170,334,0
171,286,0
172,276,0
173,292,0
174,276,0
175,284,0
176,298,0
177,280,0
178,324,0
179,278,0
180,280,0
181,254,0
182,272,0
183,256,0
184,276,0
185,618,0
186,280,0
187,292,0
188,290,0
189,280,0
190,288,0
191,290,0
192,276,0
193,276,0
194,278,0
195,280,0
196,274,0
197,278,0
198,276,0
199,272,0
200,276,0
201,272,0
202,276,0
203,272,0
204,1052,0
205,278,0
206,278,0
207,274,0
208,276,0
209,276,0
210,278,0
211,276,0
212,276,0
213,272,0
214,276,0
215,312,0
216,276,0
217,272,0
218,278,0
219,274,0
220,274,0
221,276,0
222,276,0
223,254,0
224,274,0
225,272,0
226,752,0
227,252,0
228,278,0
229,274,0
230,272,0
231,276,0
232,272,0
233,272,0
234,272,0
235,272,0
236,276,0
237,276,0
238,276,0
239,272,0
240,274,0
241,278,0
242,278,0
243,276,0
244,276,0
245,254,0
246,274,0
247,272,0
248,912,0
249,274,0
250,274,0
251,274,0
252,274,0
253,276,0
254,274,0
255,276,0
256,276,0
257,276,0
258,316,0
259,278,0
260,276,0
261,278,0
262,276,0
263,276,0
264,270,0
265,276,0
266,274,0
267,258,0
268,276,0
269,278,0
270,860,0
271,278,0
272,276,0
273,274,0
274,272,0
275,272,0
276,272,0
277,274,0
278,258,0
279,272,0
280,274,0
281,272,0
282,276,0
283,278,0
284,290,0
285,272,0
286,274,0
287,276,0
288,276,0
289,272,0
290,278,0
291,276,0
292,886,0
293,276,0
294,254,0
295,282,0
296,272,0
297,272,0
298,274,0
299,276,0
300,274,0
301,272,0
302,274,0
303,274,0
304,254,0
305,276,0
306,276,0
307,272,0
308,274,0
309,272,0
310,278,0
311,272,0
312,272,0
313,278,0
314,614,0
315,274,0
316,276,0
317,276,0
318,272,0
319,274,0
320,274,0
321,274,0
322,276,0
323,272,0
324,276,0
325,272,0
326,274,0
327,274,0
328,270,0
329,274,0
330,280,0
331,272,0
332,274,0
333,274,0
334,274,0
335,1242,0
336,272,0
337,276,0
338,274,0
339,276,0
340,274,0
341,274,0
342,274,0
343,272,0
344,272,0
345,274,0
346,276,0
347,276,0
348,276,0
349,276,0
350,276,0
351,274,0
352,276,0
353,278,0
354,272,0
355,276,0
356,274,0
357,714,0
358,270,0
359,276,0
360,274,0
361,278,0
362,274,0
363,272,0
364,276,0
365,270,0
366,274,0
367,270,0
368,276,0
369,274,0
370,276,0
371,274,0
372,282,0
373,270,0
374,276,0
375,276,0
376,276,0
377,276,0
378,278,0
379,968,0
380,256,0
381,272,0
382,274,0
383,274,0
384,270,0
385,278,0
386,272,0
387,274,0
388,274,0
389,274,0
390,274,0
391,276,0
392,274,0
393,274,0
394,274,0
395,272,0
396,274,0
397,276,0
398,276,0
399,276,0
400,276,0
401,838,0
402,274,0
403,274,0
404,280,0
405,276,0
406,270,0
407,276,0
408,282,0
409,270,0
410,272,0
411,272,0
412,282,0
413,274,0
414,276,0
415,270,0
416,280,0
417,276,0
418,278,0
419,282,0
420,272,0
421,276,0
422,274,0
423,254,0
424,288,0
425,276,0
426,272,0
427,280,0
428,274,0
429,274,0
430,600,0
431,274,0
432,276,0
433,276,0
434,274,0
435,278,0
436,276,0
437,278,0
438,274,0
439,252,0
440,274,0
441,272,0
442,274,0
443,274,0
444,274,0
445,280,0
446,276,0
447,280,0
448,280,0
449,274,0
450,274,0
451,276,0
452,508,0
453,274,0
454,272,0
455,272,0
456,274,0
457,274,0
458,274,0
459,272,0
460,276,0
461,272,0
462,280,0
463,276,0
464,276,0
465,272,0
466,292,0
467,276,0
468,276,0
469,274,0
470,274,0
471,272,0
472,272,0
473,1130,0
474,274,0
475,274,0
476,276,0
477,272,0
478,280,0
479,278,0
480,278,0
481,274,0
482,282,0
483,274,0
484,274,0
485,272,0
486,294,0
487,274,0
488,272,0
489,274,0
490,276,0
491,272,0
492,274,0
493,278,0
494,270,0
495,874,0
496,276,0
497,274,0
498,274,0
499,278,0
500,276,0
501,274,0
502,254,0
503,274,0
504,276,0
505,272,0
506,264,0
507,276,0
508,274,0
509,274,0
510,256,0
511,272,0
512,274,0
513,302,0
514,276,0
515,278,0
516,254,0
517,1002,0
518,252,0
519,272,0
520,274,0
521,274,0
522,276,0
523,270,0
524,274,0
525,286,0
526,274,0
527,274,0
528,278,0
529,274,0
530,272,0
531,280,0
532,272,0
533,276,0
534,278,0
535,272,0
536,276,0
537,278,0
538,274,0
539,1056,0
540,276,0
541,274,0
542,278,0
543,256,0
544,276,0
545,272,0
546,276,0
547,280,0
548,278,0
549,280,0
550,270,0
551,274,0
552,272,0
553,272,0
554,282,0
555,280,0
556,278,0
557,278,0
558,274,0
559,272,0
560,272,0
561,1006,0
562,272,0
563,278,0
564,274,0
565,336,0
566,278,0
567,276,0
568,278,0
569,270,0
570,274,0
571,278,0
572,272,0
573,272,0
574,272,0
575,278,0
576,276,0
577,274,0
578,272,0
579,274,0
580,278,0
581,274,0
582,276,0
583,932,0
584,290,0
585,278,0
586,272,0
587,272,0
588,274,0
589,278,0
590,282,0
591,258,0
592,276,0
593,278,0
594,274,0
595,272,0
596,276,0
597,254,0
598,274,0
599,272,0
600,274,0
601,274,0
602,274,0
603,276,0
604,274,0
605,988,0
606,276,0
607,278,0
608,274,0
609,274,0
610,278,0
611,276,0
612,282,0
613,272,0
614,274,0
615,276,0
616,276,0
617,272,0
618,276,0
619,276,0
620,274,0
621,274,0
622,276,0
623,272,0
624,272,0
625,278,0
626,274,0
627,1016,0
628,276,0
629,272,0
630,274,0
631,274,0
632,274,0
633,274,0
634,286,0
635,272,0
636,274,0
637,272,0
638,274,0
639,272,0
640,276,0
641,272,0
642,276,0
643,276,0
644,272,0
645,272,0
646,272,0
647,278,0
648,274,0
649,1118,0
650,274,0
651,272,0
652,274,0
653,280,0
654,256,0
655,272,0
656,274,0
657,278,0
658,276,0
659,280,0
660,274,0
661,274,0
662,270,0
663,274,0
664,276,0
665,274,0
666,276,0
667,276,0
668,276,0
669,274,0
670,276,0
671,1062,0
672,276,0
673,274,0
674,276,0
675,278,0
676,272,0
677,272,0
678,274,0
679,274,0
680,274,0
681,278,0
682,274,0
683,276,0
684,278,0
685,272,0
686,276,0
687,270,0
688,258,0
689,256,0
690,274,0
691,258,0
692,272,0
693,1054,0
694,272,0
695,274,0
696,270,0
697,274,0
698,274,0
699,274,0
700,276,0
701,272,0
702,274,0
703,278,0
704,272,0
705,272,0
706,276,0
707,274,0
708,278,0
709,274,0
710,278,0
711,272,0
712,276,0
713,280,0
714,276,0
715,1084,0
716,254,0
717,276,0
718,286,0
719,276,0
720,276,0
721,272,0
722,274,0
723,250,0
724,276,0
725,274,0
726,252,0
727,276,0
728,276,0
729,282,0
730,278,0
731,276,0
732,276,0
733,274,0
734,278,0
735,278,0
736,274,0
737,1152,0
738,276,0
739,276,0
740,280,0
741,276,0
742,278,0
743,274,0
744,254,0
745,276,0
746,274,0
747,270,0
748,276,0
749,274,0
750,274,0
751,274,0
752,274,0
753,274,0
754,276,0
755,278,0
756,272,0
757,274,0
758,276,0
759,1126,0
760,274,0
761,274,0
762,276,0
763,274,0
764,274,0
765,280,0
766,272,0
767,274,0
768,276,0
769,278,0
770,270,0
771,276,0
772,274,0
773,280,0
774,276,0
775,278,0
776,274,0
777,274,0
778,276,0
779,272,0
780,274,0
781,1000,0
782,276,0
783,276,0
784,278,0
785,276,0
786,278,0
787,280,0
788,276,0
789,276,0
790,272,0
791,286,0
792,270,0
793,276,0
794,276,0
795,274,0
796,278,0
797,276,0
798,276,0
799,276,0
800,276,0
801,278,0
802,278,0
803,996,0
804,276,0
805,278,0
806,280,0
807,256,0
808,278,0
809,276,0
810,258,0
811,274,0
812,276,0
813,272,0
814,276,0
815,276,0
816,276,0
817,274,0
818,274,0
819,276,0
820,274,0
821,276,0
822,276,0
823,274,0
824,272,0
825,1000,0
826,274,0
827,272,0
828,280,0
829,270,0
830,278,0
831,274,0
832,276,0
833,274,0
834,284,0
835,276,0
836,920,0
837,276,0
838,310,0
839,272,0
840,278,0
841,276,0
842,274,0
843,286,0
844,272,0
845,272,0
846,280,0
847,278,0
848,272,0
849,278,0
850,278,0
851,270,0
852,274,0
853,274,0
854,276,0
855,274,0
856,274,0
857,254,0
858,836,0
859,272,0
860,258,0
861,276,0
862,274,0
863,274,0
864,276,0
865,272,0
866,288,0
867,274,0
868,276,0
869,276,0
870,278,0
871,276,0
872,274,0
873,278,0
874,278,0
875,272,0
876,274,0
877,274,0
878,272,0
879,272,0
880,710,0
881,278,0
882,274,0
883,276,0
884,278,0
885,276,0
886,276,0
887,258,0
888,256,0
889,276,0
890,276,0
891,272,0
892,276,0
893,272,0
894,276,0
895,274,0
896,278,0
897,276,0
898,274,0
899,258,0
900,276,0
901,276,0
902,856,0
903,274,0
904,276,0
905,278,0
906,274,0
907,276,0
908,274,0
909,276,0
910,258,0
911,308,0
912,278,0
913,272,0
914,278,0
915,280,0
916,272,0
917,274,0
918,272,0
919,278,0
920,278,0
921,270,0
922,292,0
923,254,0
924,1226,0
925,276,0
926,278,0
927,276,0
928,278,0
929,274,0
930,274,0
931,276,0
932,274,0
933,276,0
934,274,0
935,274,0
936,278,0
937,280,0
938,274,0
939,274,0
940,256,0
941,284,0
942,280,0
943,278,0
944,274,0
945,252,0
946,512,0
947,274,0
948,274,0
949,252,0
950,276,0
951,274,0
952,254,0
953,272,0
954,274,0
955,274,0
956,278,0
957,276,0
958,258,0
959,274,0
960,280,0
961,278,0
962,254,0
963,284,0
964,258,0
965,276,0
966,274,0
967,276,0
968,560,0
969,274,0
970,276,0
971,274,0
972,276,0
973,276,0
974,276,0
975,254,0
976,310,0
977,274,0
978,274,0
979,276,0
980,276,0
981,272,0
982,274,0
983,274,0
984,274,0
985,276,0
986,276,0
987,276,0
988,274,0
989,278,0
990,1020,0
991,276,0
992,252,0
993,274,0
994,276,0
995,274,0
996,278,0
997,272,0
998,276,0
999,276,0
1000,278,0
1001,276,0
1002,272,0
1003,272,0
1004,278,0
1005,272,0
1006,276,0
1007,276,0
1008,276,0
1009,274,0
1010,276,0
1011,280,0
1012,880,0
1013,274,0
1014,274,0
1015,274,0
1016,280,0
1017,280,0
1018,274,0
1019,280,0
1020,276,0
1021,284,0
1022,278,0
1023,274,0
1024,276,0
1025,276,0
1026,276,0
1027,276,0
1028,274,0
1029,274,0
1030,282,0
1031,272,0
1032,274,0
1033,276,0
1034,1382,0
1035,276,0
1036,274,0
1037,276,0
1038,276,0
1039,274,0
1040,276,0
1041,276,0
1042,272,0
1043,274,0
1044,306,0
1045,272,0
1046,276,0
1047,274,0
1048,274,0
1049,276,0
1050,276,0
1051,274,0
1052,274,0
1053,272,0
1054,278,0
1055,274,0
1056,254,0
1057,568,0
1058,278,0
1059,272,0
1060,276,0
1061,274,0
1062,274,0
1063,274,0
1064,270,0
1065,276,0
1066,274,0
1067,270,0
1068,280,0
1069,274,0
1070,278,0
1071,274,0
1072,272,0
1073,272,0
1074,278,0
1075,276,0
1076,274,0
1077,274,0
1078,274,0
1079,272,0
1080,594,0
1081,282,0
1082,274,0
1083,274,0
1084,272,0
1085,270,0
1086,274,0
1087,270,0
1088,254,0
1089,254,0
1090,278,0
1091,270,0
1092,276,0
1093,276,0
1094,274,0
1095,274,0
1096,278,0
1097,276,0
1098,276,0
1099,276,0
1100,274,0
1101,274,0
1102,286,0
1103,864,0
1104,276,0
1105,276,0
1106,274,0
1107,276,0
1108,276,0
1109,276,0
1110,252,0
1111,272,0
1112,276,0
1113,254,0
1114,276,0
1115,274,0
1116,274,0
1117,278,0
1118,274,0
1119,260,0
1120,252,0
1121,272,0
1122,272,0
1123,276,0
1124,276,0
1125,272,0
1126,540,0
1127,278,0
1128,274,0
1129,256,0
1130,280,0
1131,274,0
1132,272,0
1133,278,0
1134,276,0
1135,272,0
1136,276,0
1137,256,0
1138,270,0
1139,272,0
1140,278,0
1141,272,0
1142,278,0
1143,276,0
1144,274,0
1145,272,0
1146,274,0
1147,278,0
1148,1154,0
1149,260,0
1150,278,0
1151,272,0
1152,278,0
1153,278,0
1154,272,0
1155,280,0
1156,276,0
1157,272,0
1158,252,0
1159,278,0
1160,282,0
1161,274,0
1162,274,0
1163,256,0
1164,282,0
1165,274,0
1166,274,0
1167,276,0
1168,276,0
1169,274,0
1170,280,0
1171,552,0
1172,272,0
1173,278,0
1174,274,0
1175,278,0
1176,272,0
1177,272,0
1178,274,0
1179,272,0
1180,256,0
1181,278,0
1182,276,0
1183,278,0
1184,278,0
1185,274,0
1186,272,0
1187,258,0
1188,274,0
1189,272,0
1190,272,0
1191,276,0
1192,278,0
1193,278,0
1194,688,0
1195,276,0
1196,274,0
1197,276,0
1198,276,0
1199,276,0
1200,274,0
1201,274,0
1202,280,0
1203,276,0
1204,286,0
1205,274,0
1206,276,0
1207,272,0
1208,276,0
1209,278,0
1210,274,0
1211,274,0
1212,272,0
1213,274,0
1214,252,0
1215,282,0
1216,278,0
1217,274,0
1218,274,0
1219,278,0
1220,278,0
1221,278,0
1222,276,0
1223,276,0
1224,274,0
1225,272,0
1226,278,0
1227,276,0
1228,276,0
1229,276,0
1230,274,0
1231,278,0
1232,276,0
1233,848,0
1234,302,0
1235,274,0
1236,272,0
1237,274,0
1238,278,0
1239,274,0
1240,278,0
1241,280,0
1242,276,0
1243,274,0
1244,276,0
1245,276,0
1246,276,0
1247,274,0
1248,274,0
1249,272,0
1250,272,0
1251,256,0
1252,276,0
1253,274,0
1254,276,0
1255,260,0
1256,580,0
1257,272,0
1258,278,0
1259,276,0
1260,278,0
1261,276,0
1262,276,0
1263,274,0
1264,280,0
1265,276,0
1266,278,0
1267,270,0
1268,278,0
1269,274,0
1270,276,0
1271,276,0
1272,274,0
1273,276,0
1274,278,0
1275,276,0
1276,280,0
1277,280,0
1278,1244,0
1279,278,0
1280,274,0
1281,278,0
1282,274,0
1283,272,0
1284,276,0
1285,274,0
1286,276,0
1287,272,0
1288,280,0
1289,276,0
1290,276,0
1291,276,0
1292,276,0
1293,252,0
1294,276,0
1295,278,0
1296,278,0
1297,300,0
1298,274,0
1299,278,0
1300,278,0
1301,566,0
1302,276,0
1303,274,0
1304,272,0
1305,258,0
1306,274,0
1307,274,0
1308,276,0
1309,276,0
1310,274,0
1311,272,0
1312,276,0
1313,274,0
1314,274,0
1315,276,0
1316,274,0
1317,276,0
1318,276,0
1319,274,0
1320,276,0
1321,272,0
1322,278,0
1323,1336,0
1324,278,0
1325,278,0
1326,274,0
1327,276,0
1328,276,0
1329,276,0
1330,270,0
1331,276,0
1332,274,0
1333,280,0
1334,274,0
1335,274,0
1336,274,0
1337,272,0
1338,274,0
1339,276,0
1340,278,0
1341,276,0
1342,280,0
1343,278,0
1344,274,0
1345,276,0
1346,568,0
1347,276,0
1348,276,0
1349,274,0
1350,270,0
1351,278,0
1352,278,0
1353,278,0
1354,274,0
1355,280,0
1356,274,0
1357,276,0
1358,272,0
1359,272,0
1360,272,0
1361,278,0
1362,284,0
1363,270,0
1364,272,0
1365,278,0
1366,282,0
1367,306,0
1368,280,0
1369,564,0
1370,272,0
1371,274,0
1372,276,0
1373,272,0
1374,278,0
1375,280,0
1376,272,0
1377,274,0
1378,274,0
1379,274,0
1380,276,0
1381,276,0
1382,272,0
1383,274,0
1384,274,0
1385,276,0
1386,274,0
1387,256,0
1388,272,0
1389,278,0
1390,276,0
1391,280,0
1392,568,0
1393,276,0
1394,272,0
1395,276,0
1396,278,0
1397,276,0
1398,274,0
1399,276,0
1400,276,0
1401,256,0
1402,274,0
1403,256,0
1404,280,0
1405,274,0
1406,282,0
1407,272,0
1408,254,0
1409,272,0
1410,274,0
1411,276,0
1412,280,0
1413,274,0
1414,252,0
1415,568,0
1416,306,0
1417,276,0
1418,282,0
1419,276,0
1420,282,0
1421,280,0
1422,270,0
1423,274,0
1424,284,0
1425,272,0
1426,278,0
1427,276,0
1428,274,0
1429,260,0
1430,280,0
1431,276,0
1432,276,0
1433,250,0
1434,276,0
1435,276,0
1436,256,0
1437,276,0
1438,566,0
1439,274,0
1440,272,0
1441,280,0
1442,276,0
1443,276,0
1444,274,0
1445,274,0
1446,274,0
1447,276,0
1448,276,0
1449,276,0
1450,274,0
1451,274,0
1452,276,0
1453,276,0
1454,274,0
1455,274,0
1456,278,0
1457,278,0
1458,278,0
1459,252,0
1460,276,0
1461,568,0
1462,272,0
1463,274,0
1464,274,0
1465,272,0
1466,272,0
1467,278,0
1468,276,0
1469,276,0
1470,272,0
1471,252,0
1472,274,0
1473,274,0
1474,274,0
1475,276,0
1476,276,0
1477,272,0
1478,276,0
1479,276,0
1480,276,0
1481,280,0
1482,274,0
1483,276,0
1484,570,0
1485,290,0
1486,278,0
1487,276,0
1488,276,0
1489,280,0
1490,274,0
1491,274,0
1492,276,0
1493,274,0
1494,274,0
1495,276,0
1496,280,0
1497,274,0
1498,270,0
1499,260,0
1500,278,0
1501,274,0
1502,276,0
1503,278,0
1504,276,0
1505,270,0
1506,274,0
1507,580,0
1508,274,0
1509,272,0
1510,356,0
1511,276,0
1512,252,0
1513,276,0
1514,274,0
1515,386,0
1516,278,0
1517,260,0
1518,280,0
1519,280,0
1520,274,0
1521,278,0
1522,276,0
1523,280,0
1524,276,0
1525,274,0
1526,272,0
1527,274,0
1528,280,0
1529,278,0
1530,566,0
1531,274,0
1532,278,0
1533,272,0
1534,272,0
1535,278,0
1536,276,0
1537,276,0
1538,272,0
1539,272,0
1540,272,0
1541,276,0
1542,270,0
1543,276,0
1544,274,0
1545,280,0
1546,274,0
1547,274,0
1548,274,0
1549,274,0
1550,274,0
1551,274,0
1552,270,0
1553,576,0
1554,270,0
1555,278,0
1556,276,0
1557,278,0
1558,270,0
1559,288,0
1560,258,0
1561,272,0
1562,278,0
1563,276,0
1564,274,0
1565,274,0
1566,276,0
1567,272,0
1568,280,0
1569,276,0
1570,278,0
1571,274,0
1572,278,0
1573,276,0
1574,274,0
1575,276,0
1576,584,0
1577,274,0
1578,274,0
1579,260,0
1580,254,0
1581,276,0
1582,274,0
1583,278,0
1584,278,0
1585,270,0
1586,276,0
1587,276,0
1588,284,0
1589,274,0
1590,1298,0
1591,274,0
1592,256,0
1593,278,0
1594,276,0
1595,272,0
1596,270,0
1597,254,0
1598,254,0
1599,264,0
1600,278,0
1601,278,0
1602,254,0
1603,278,0
1604,278,0
1605,272,0
1606,280,0
1607,274,0
1608,272,0
1609,274,0
1610,276,0
1611,276,0
1612,276,0
1613,586,0
1614,276,0
1615,278,0
1616,276,0
1617,276,0
1618,276,0
1619,278,0
1620,276,0
1621,276,0
1622,276,0
1623,272,0
1624,278,0
1625,274,0
1626,274,0
1627,274,0
1628,276,0
1629,272,0
1630,278,0
1631,272,0
1632,272,0
1633,274,0
1634,276,0
1635,276,0
1636,568,0
1637,272,0
1638,278,0
1639,272,0
1640,268,0
1641,276,0
1642,278,0
1643,272,0
1644,278,0
1645,272,0
1646,272,0
1647,276,0
1648,274,0
1649,266,0
1650,290,0
1651,274,0
1652,274,0
1653,276,0
1654,276,0
1655,274,0
1656,278,0
1657,274,0
1658,280,0
1659,568,0
1660,276,0
1661,276,0
1662,274,0
