model,target_tokens,trial,success,base_mem_mb,peak_mem_mb,mem_increase_mb,elapsed_ms,server_ms
pythia-70m,10,0,True,664.9,665.2,0.3000000000000682,692.4783230001594,687.3127859998931
pythia-70m,10,1,True,664.9,665.2,0.0,613.6029480003344,610.4971679997107
pythia-70m,10,2,True,664.9,665.2,0.0,629.6278370000437,626.6284690000248
pythia-70m,10,3,True,664.9,665.2,0.0,683.0138840000473,679.9691720002556
pythia-70m,10,4,True,664.9,665.2,0.0,681.908119000127,678.7062549997245
pythia-70m,100,0,True,664.9,669.9,4.699999999999932,780.7924799999455,776.9945909999478
pythia-70m,100,1,True,664.9,669.5,-0.2999999999999545,682.146831999944,679.2087949997949
pythia-70m,100,2,True,664.9,675.4,6.100000000000023,673.3307750000677,669.7975560000486
pythia-70m,100,3,True,664.9,675.1,-0.2999999999999545,672.8606460001174,669.2125660001693
pythia-70m,100,4,True,664.9,675.5,0.39999999999997726,733.4605970004304,730.3578490000291
pythia-70m,500,0,True,664.9,683.0,7.5,813.2934049999676,810.3487200000927
pythia-70m,500,1,True,664.9,692.2,9.400000000000091,800.8914379997805,797.5051570001597
pythia-70m,500,2,True,664.9,672.1,-19.899999999999977,820.3384710000137,816.9973539997955
pythia-70m,500,3,True,664.9,690.3,18.299999999999955,879.5375969998531,876.1884580003425
pythia-70m,500,4,True,664.9,681.0,-9.299999999999955,864.7491699998682,861.7141730001094
pythia-70m,1000,0,True,664.9,691.6,10.899999999999977,875.6903169996804,872.293451999667
pythia-70m,1000,1,True,664.9,683.0,-8.600000000000023,888.5485250002603,884.9437379999472
pythia-70m,1000,2,True,664.9,676.5,-6.399999999999977,882.6389719997678,879.3875999999727
pythia-70m,1000,3,True,664.9,676.5,0.20000000000004547,885.2956870000526,882.2235439997712
pythia-70m,1000,4,True,664.9,685.2,8.900000000000091,801.5980709997166,798.2563210002809
pythia-70m,1500,0,True,664.9,691.4,6.399999999999977,974.5756109996364,970.9435949998806
pythia-70m,1500,1,True,664.9,691.4,0.0,829.6659940001518,826.0873640001591
pythia-70m,1500,2,True,664.9,690.6,-0.7999999999999545,864.4275220003692,861.3376769999377
pythia-70m,1500,3,True,664.9,681.0,-9.399999999999977,808.5824519998823,805.2480040000773
pythia-70m,1500,4,True,664.9,675.3,-5.400000000000091,880.0713720002022,876.3742050000474
distilgpt2,10,0,True,609.5,611.7,2.2000000000000455,902.1206950001215,898.0129480000869
distilgpt2,10,1,True,609.5,611.7,0.0,956.0885739997502,952.820272000281
distilgpt2,10,2,True,609.5,611.8,0.09999999999990905,889.6976270002597,886.1506719999852
distilgpt2,10,3,True,609.5,611.8,0.0,889.8446700000022,886.8516819998149
distilgpt2,10,4,True,609.5,611.8,0.0,897.8635860003124,894.5629909999298
distilgpt2,100,0,True,609.5,615.3,3.5,1006.5846279999278,1003.3169799999087
distilgpt2,100,1,True,609.5,615.4,0.1999999999999318,1001.2372460000734,997.661897999933
distilgpt2,100,2,True,609.5,615.5,0.20000000000004547,990.1233710002089,987.1987219999028
distilgpt2,100,3,True,609.5,615.4,0.10000000000002274,1075.1757680000082,1071.8694219999634
distilgpt2,100,4,True,609.5,616.2,0.900000000000091,1065.1839540000765,1062.2961459998805
distilgpt2,500,0,True,609.5,660.0,44.0,1266.7428740001014,1263.8357290002205
distilgpt2,500,1,True,609.5,648.6,-11.399999999999977,1262.0292990000053,1258.594936999998
distilgpt2,500,2,True,609.5,650.1,1.7000000000000455,1317.3272729995915,1314.32655899971
distilgpt2,500,3,True,609.5,650.0,0.0,1255.9523270001591,1252.992397000071
distilgpt2,500,4,True,609.5,651.6,1.6000000000000227,1256.2721249996684,1253.4014719999504
distilgpt2,1000,0,True,609.5,650.1,-1.5,1327.5377929999195,1324.2291760002445
distilgpt2,1000,1,True,609.5,649.6,-0.39999999999997726,1323.1783440000981,1320.0983639999322
distilgpt2,1000,2,True,609.5,649.6,0.0,1250.870807999945,1247.911262999878
distilgpt2,1000,3,True,609.5,649.6,0.0,1324.7527799999261,1321.7418320000434
distilgpt2,1000,4,True,609.5,649.6,0.0,1257.7125299999352,1254.604436000136
distilgpt2,1500,0,True,609.5,650.3,0.6999999999999318,1255.312788000083,1252.3258419996637
distilgpt2,1500,1,True,609.5,651.7,1.6000000000000227,1320.2906579999762,1316.9731369998772
distilgpt2,1500,2,True,609.5,650.1,-1.6000000000000227,1250.3628559998106,1247.133065000071
distilgpt2,1500,3,True,609.5,651.7,1.6000000000000227,1253.5114839997732,1250.4731089998131
distilgpt2,1500,4,True,609.5,650.2,-1.5,1255.1326940001672,1252.0487169999797
gpt2,10,0,True,467.3,473.4,6.099999999999966,1592.3782039999423,1588.5207030000856
gpt2,10,1,True,467.3,473.2,0.0,1556.9635100000596,1553.5468590001074
gpt2,10,2,True,467.3,473.7,0.19999999999998863,1557.734167000035,1554.6675679997861
gpt2,10,3,True,467.3,473.5,0.0,1572.294986000088,1569.2743700001301
gpt2,10,4,True,467.3,473.8,0.30000000000001137,1572.7424660003635,1569.6841680000944
gpt2,100,0,True,467.3,513.7,40.200000000000045,1778.6186869998346,1775.5899520002458
gpt2,100,1,True,467.3,504.3,32.80000000000001,1685.282116000053,1682.272355999885
gpt2,100,2,True,467.3,504.4,32.799999999999955,1794.8241540002527,1791.7931350002618
gpt2,100,3,True,467.3,504.3,32.69999999999999,1799.3563569998514,1796.458197999982
gpt2,100,4,True,467.3,504.3,32.69999999999999,1696.3957419998223,1693.1287140000677
gpt2,500,0,True,467.3,544.1,72.5,2230.3312359999836,2227.203169999939
gpt2,500,1,True,467.3,547.3,3.599999999999909,2188.234970999929,2185.14740899991
gpt2,500,2,True,467.3,532.2,-14.699999999999932,2359.0734090003025,2355.9740979999333
gpt2,500,3,True,467.3,534.6,16.700000000000045,2363.271707000422,2360.345357999904
gpt2,500,4,True,467.3,544.2,39.400000000000034,2367.385359000309,2364.4381919998523
gpt2,1000,0,True,467.3,539.3,-4.600000000000023,2352.258742000231,2349.046272999658
gpt2,1000,1,True,467.3,532.2,-7.099999999999909,2370.072684000206,2366.9963490001464
gpt2,1000,2,True,467.3,532.5,11.200000000000045,2377.728502000082,2374.735688000328
gpt2,1000,3,True,467.3,532.3,11.0,2368.6896110002635,2365.5768519997764
gpt2,1000,4,True,467.3,532.3,27.499999999999943,2358.2218799997463,2355.047277000267
gpt2,1500,0,True,467.3,530.5,19.100000000000023,2232.816186999571,2229.9469250001493
gpt2,1500,1,True,467.3,530.8,25.899999999999977,2243.231331000061,2239.838798999699
gpt2,1500,2,True,467.3,531.0,16.299999999999955,2361.1097779999,2357.8200510000897
gpt2,1500,3,True,467.3,540.2,27.100000000000023,2239.443499999652,2236.2388340002326
gpt2,1500,4,True,467.3,532.2,-8.0,2257.6491499999065,2254.2374569998174
opt-125m,10,0,True,747.4,751.9,4.5,1522.4170810001851,1518.2412499998463
opt-125m,10,1,True,747.4,751.7,0.0,1507.0303319998857,1504.0497640002286
opt-125m,10,2,True,747.4,751.7,0.0,1517.0178600001236,1513.8155940003344
opt-125m,10,3,True,747.4,751.7,0.0,1525.9014719999868,1522.5631710000016
opt-125m,10,4,True,747.4,751.7,0.0,1416.285902999789,1413.0476769996676
opt-125m,100,0,True,747.4,796.6,44.89999999999998,1873.4367380002368,1869.6535320000294
opt-125m,100,1,True,747.4,787.4,0.10000000000002274,1781.8099809996966,1778.4746940001241
opt-125m,100,2,True,747.4,783.9,23.100000000000023,1654.3396469996878,1650.6725009999172
opt-125m,100,3,True,747.4,785.9,0.2999999999999545,1653.2605769998554,1649.947303999852
opt-125m,100,4,True,747.4,782.2,21.40000000000009,1780.0800469999558,1776.9745109999349
opt-125m,500,0,True,747.4,884.6,123.0,2335.528677000184,2332.4094239997066
opt-125m,500,1,True,747.4,883.8,27.299999999999955,2321.890104999966,2319.1775479999706
opt-125m,500,2,True,747.4,881.3,54.69999999999993,2212.820348999685,2210.085562000131
opt-125m,500,3,True,747.4,887.0,39.200000000000045,2206.3406699999177,2203.691218000131
opt-125m,500,4,True,747.4,883.2,56.60000000000002,2336.1896069995964,2333.1505139999535
opt-125m,1000,0,True,747.4,863.8,37.19999999999993,2198.090355000204,2194.8196190001
opt-125m,1000,1,True,747.4,870.2,27.100000000000023,2326.90538199995,2324.119813999914
opt-125m,1000,2,True,747.4,859.4,32.799999999999955,2183.260616000098,2180.439227000079
opt-125m,1000,3,True,747.4,859.8,20.0,2183.403725000062,2180.0522260000434
opt-125m,1000,4,True,747.4,859.4,19.600000000000023,2292.0591099996273,2288.9253989997087
opt-125m,1500,0,True,747.4,871.8,32.0,2318.7337019999177,2315.4625669999405
opt-125m,1500,1,True,747.4,873.5,46.89999999999998,2211.441657999785,2208.2544919999236
opt-125m,1500,2,True,747.4,873.4,46.799999999999955,2216.0369580001316,2213.269828999728
opt-125m,1500,3,True,747.4,873.4,46.799999999999955,2204.271429000073,2201.2952959998984
opt-125m,1500,4,True,747.4,873.6,47.0,2216.9360200000483,2213.9865849999296
gpt-neo-125m,10,0,True,822.6,823.4,0.7999999999999545,1662.6249099999768,1658.0742699998154
gpt-neo-125m,10,1,True,822.6,823.4,0.0,1533.236744000078,1529.6226559999013
gpt-neo-125m,10,2,True,822.6,823.4,0.0,1530.5906370003868,1527.4166469998818
gpt-neo-125m,10,3,True,822.6,823.5,0.10000000000002274,1546.108133999951,1542.6805839997542
gpt-neo-125m,10,4,True,822.6,823.7,0.3000000000000682,1534.33867800004,1531.0282410000582
gpt-neo-125m,100,0,True,822.6,842.3,18.799999999999955,1922.9095679997954,1919.4433080001545
gpt-neo-125m,100,1,True,822.6,842.5,0.5,1935.4723569999805,1932.105803000013
gpt-neo-125m,100,2,True,822.6,842.4,0.2999999999999545,1791.6401100001167,1788.2941840002786
gpt-neo-125m,100,3,True,822.6,842.2,0.10000000000002274,1781.366283999887,1777.9935519997707
gpt-neo-125m,100,4,True,822.6,842.3,0.1999999999999318,1931.5792779998446,1928.6448190000556
gpt-neo-125m,500,0,True,822.6,921.4,79.29999999999995,2687.8579439999157,2684.602344999803
gpt-neo-125m,500,1,True,822.6,923.9,2.5,2666.2339780000366,2662.826694999694
gpt-neo-125m,500,2,True,822.6,919.0,19.899999999999977,2760.7393920002323,2757.549494000159
gpt-neo-125m,500,3,True,822.6,918.0,18.899999999999977,2648.4844629999316,2645.3613300000143
gpt-neo-125m,500,4,True,822.6,923.6,24.5,2520.0982950000252,2516.4484409997385
gpt-neo-125m,1000,0,True,822.6,923.6,24.5,2511.7842549998386,2508.837188000143
gpt-neo-125m,1000,1,True,822.6,923.9,24.699999999999932,2676.572469000348,2673.4505409999656
gpt-neo-125m,1000,2,True,822.6,926.1,2.8999999999999773,2516.71433599995,2513.1943760002287
gpt-neo-125m,1000,3,True,822.6,923.5,-2.2999999999999545,2550.189856000088,2547.197449000123
gpt-neo-125m,1000,4,True,822.6,918.7,19.5,2664.0360950000286,2660.6197000000975
gpt-neo-125m,1500,0,True,822.6,923.6,4.899999999999977,2677.2261609999077,2673.88562799988
gpt-neo-125m,1500,1,True,822.6,918.5,19.200000000000045,2520.5262180002137,2517.439146000015
gpt-neo-125m,1500,2,True,822.6,919.0,0.5,2652.7898350000214,2649.462129999847
