success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,591.5590269996756,587.4001449997195,587.3954409998987,False,gpt-neo-125m,none,0,gpt-neo-125m_fp0,,1765394642.4814093
True,200,606.1130779999075,602.6705650001531,602.6661249998142,False,gpt-neo-125m,none,1,gpt-neo-125m_fp1,,1765394643.0735004
True,200,587.1180690000983,584.0622470000199,584.057338999628,False,gpt-neo-125m,none,2,gpt-neo-125m_fp2,,1765394643.6800735
True,200,586.910963000264,584.0263250001954,584.0210700002899,False,gpt-neo-125m,none,3,gpt-neo-125m_fp3,,1765394644.2676547
True,200,605.181354999786,602.1111519999067,602.1065989998533,False,gpt-neo-125m,none,4,gpt-neo-125m_fp4,,1765394644.854702
True,200,586.8191470003694,583.5584840001502,583.5537049997583,False,gpt-neo-125m,none,5,gpt-neo-125m_fp5,,1765394645.460018
True,200,711.3190090003627,708.2735429999047,708.2667829999991,False,gpt-neo-125m,none,6,gpt-neo-125m_fp6,,1765394646.0472696
True,200,602.4212190000071,598.8788629997543,598.8762839997435,False,gpt-neo-125m,none,7,gpt-neo-125m_fp7,,1765394646.7590425
True,200,601.5406870001243,598.6119209997014,598.6092939997434,False,gpt-neo-125m,none,8,gpt-neo-125m_fp8,,1765394647.3617427
True,200,605.7449930003713,602.8152010003396,602.8129480000644,False,gpt-neo-125m,none,9,gpt-neo-125m_fp9,,1765394647.9634166
True,200,593.3374260002893,590.4787189997478,590.4763179996735,False,gpt-neo-125m,none,10,gpt-neo-125m_fp10,,1765394648.5694752
True,200,604.9255829998401,602.0672009999544,602.064591999806,False,gpt-neo-125m,none,11,gpt-neo-125m_fp11,,1765394649.1631558
True,200,585.9564880001926,583.1127710002875,583.109924999917,False,gpt-neo-125m,none,12,gpt-neo-125m_fp12,,1765394649.7684114
True,200,587.2513049998815,584.3590470003619,584.3563759999597,False,gpt-neo-125m,none,13,gpt-neo-125m_fp13,,1765394650.3545063
True,200,603.9927599999828,601.1434500001087,601.1405660001401,False,gpt-neo-125m,none,14,gpt-neo-125m_fp14,,1765394650.9420738
True,200,586.8183990000944,583.7976369998614,583.7952419997237,False,gpt-neo-125m,none,15,gpt-neo-125m_fp15,,1765394651.546404
True,200,609.0811940002823,606.3017950000358,606.2992239999403,False,gpt-neo-125m,none,16,gpt-neo-125m_fp16,,1765394652.1336854
True,200,586.9071860001895,584.174824999991,584.1563339999993,False,gpt-neo-125m,none,17,gpt-neo-125m_fp17,,1765394652.7433505
True,200,586.948540999856,584.0466330000709,584.0444269997533,False,gpt-neo-125m,none,18,gpt-neo-125m_fp18,,1765394653.3303967
True,200,611.968865000108,608.8973920000171,608.8944830003129,False,gpt-neo-125m,none,19,gpt-neo-125m_fp19,,1765394653.9174795
True,200,591.2336960000175,588.3536429996639,588.3511609999914,False,gpt-neo-125m,none,20,gpt-neo-125m_fp20,,1765394654.530001
True,200,605.9249659997477,603.1405170001563,603.1377980002617,False,gpt-neo-125m,none,21,gpt-neo-125m_fp21,,1765394655.1217058
True,200,587.2292760000164,584.3382970001585,584.3356870000207,False,gpt-neo-125m,none,22,gpt-neo-125m_fp22,,1765394655.7281284
True,200,591.0623139998279,588.0433400002403,588.0405259999861,False,gpt-neo-125m,none,23,gpt-neo-125m_fp23,,1765394656.315729
True,200,604.0309029999662,601.173486999869,601.1704009997629,False,gpt-neo-125m,none,24,gpt-neo-125m_fp24,,1765394656.907204
True,200,593.1242669998937,590.1941659999466,590.1914219998616,False,gpt-neo-125m,none,25,gpt-neo-125m_fp25,,1765394657.5113707
True,200,605.3282180000679,602.3258469999746,602.3231570002281,False,gpt-neo-125m,none,26,gpt-neo-125m_fp26,,1765394658.1048095
True,200,586.2845480000942,583.4156589999111,583.4130829998685,False,gpt-neo-125m,none,27,gpt-neo-125m_fp27,,1765394658.7102857
True,200,587.4466299997039,584.4772430000376,584.4749930001853,False,gpt-neo-125m,none,28,gpt-neo-125m_fp28,,1765394659.2967052
True,200,605.3682219999246,602.5890999999319,602.5861379998787,False,gpt-neo-125m,none,29,gpt-neo-125m_fp29,,1765394659.8844635
