success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,595.3129110002919,588.6770950000937,588.6711550001564,False,opt-125m,none,0,opt-125m_fp0,,1765394569.694409
True,200,607.0405340001344,603.9810689999285,603.9753210002345,False,opt-125m,none,1,opt-125m_fp1,,1765394570.2899032
True,200,592.8194809998786,589.7563489997992,589.750709999862,False,opt-125m,none,2,opt-125m_fp2,,1765394570.8981261
True,200,594.9365750002471,591.0607780001556,591.0551320002924,False,opt-125m,none,3,opt-125m_fp3,,1765394571.4912922
True,200,608.8932389998263,605.6584900002235,605.653102999895,False,opt-125m,none,4,opt-125m_fp4,,1765394572.0866292
True,200,596.7205389997616,593.2375600000341,593.2323360002556,False,opt-125m,none,5,opt-125m_fp5,,1765394572.695669
True,200,712.0583880000595,708.6884179998378,708.6819689998265,False,opt-125m,none,6,opt-125m_fp6,,1765394573.2925348
True,200,604.0046940001957,600.8493419999468,600.8459149998089,False,opt-125m,none,7,opt-125m_fp7,,1765394574.0058405
True,200,597.4053610002557,594.2585829998279,594.2545779998909,False,opt-125m,none,8,opt-125m_fp8,,1765394574.6100798
True,200,607.9668079996736,605.2011980000316,605.1979300000312,False,opt-125m,none,9,opt-125m_fp9,,1765394575.2098923
True,200,591.3440289996288,588.4254960001272,588.4216099998412,False,opt-125m,none,10,opt-125m_fp10,,1765394575.8183727
True,200,605.3654969996387,602.2160039997289,602.212666000014,False,opt-125m,none,11,opt-125m_fp11,,1765394576.4100592
True,200,597.9188100000101,594.9211040001501,594.9175189998641,False,opt-125m,none,12,opt-125m_fp12,,1765394577.015772
True,200,590.6524100000752,587.513632000082,587.509917999796,False,opt-125m,none,13,opt-125m_fp13,,1765394577.6140368
True,200,607.0265280000058,603.9334709998911,603.9297050001551,False,opt-125m,none,14,opt-125m_fp14,,1765394578.205028
True,200,592.8199240001959,589.7542889997567,589.7505059997457,False,opt-125m,none,15,opt-125m_fp15,,1765394578.8124504
True,200,606.374593000055,603.0710200002432,603.0669840001792,False,opt-125m,none,16,opt-125m_fp16,,1765394579.4056103
True,200,592.2684739998658,589.2741210000167,589.2705410001327,False,opt-125m,none,17,opt-125m_fp17,,1765394580.0123348
True,200,597.7265060000718,594.4430679996913,594.4395429996803,False,opt-125m,none,18,opt-125m_fp18,,1765394580.6047535
True,200,608.0205210000713,604.9272710001787,604.923663000136,False,opt-125m,none,19,opt-125m_fp19,,1765394581.2028196
True,200,591.7254070000126,588.7227429998347,588.7192919999507,False,opt-125m,none,20,opt-125m_fp20,,1765394581.811205
True,200,610.7481369999732,607.6413890000367,607.638028999645,False,opt-125m,none,21,opt-125m_fp21,,1765394582.4032862
True,200,592.6374200003011,589.5343729998785,589.5308580002165,False,opt-125m,none,22,opt-125m_fp22,,1765394583.0144022
True,200,591.3949700002377,588.2626300003722,588.2590890000756,False,opt-125m,none,23,opt-125m_fp23,,1765394583.6074853
True,200,606.7751189998489,604.00155599973,603.9976299998671,False,opt-125m,none,24,opt-125m_fp24,,1765394584.2013628
True,200,591.7082699997991,588.6345629996868,588.6308009999084,False,opt-125m,none,25,opt-125m_fp25,,1765394584.8082907
True,200,605.4010590000871,602.4039720000474,602.4000809998142,False,opt-125m,none,26,opt-125m_fp26,,1765394585.4003627
True,200,594.453686000179,591.458350999801,591.4548179998746,False,opt-125m,none,27,opt-125m_fp27,,1765394586.0061333
True,200,590.9327470003518,587.9627620001884,587.9590419999658,False,opt-125m,none,28,opt-125m_fp28,,1765394586.6009305
True,200,609.1095480001059,606.1234499998136,606.119499000215,False,opt-125m,none,29,opt-125m_fp29,,1765394587.192229
