success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,615.49726200019,611.1461299997245,611.1400409999987,False,pythia-160m,none,0,pythia-160m_fp0,,1765394614.7214205
True,200,620.0719230000686,616.8720099999518,616.8659120003213,False,pythia-160m,none,1,pythia-160m_fp1,,1765394615.3373973
True,200,609.7604169999613,606.213681999634,606.2070699999822,False,pythia-160m,none,2,pythia-160m_fp2,,1765394615.9576283
True,200,607.4407760002032,604.2807160001757,604.2745960003231,False,pythia-160m,none,3,pythia-160m_fp3,,1765394616.567743
True,200,622.3477470002763,619.1348900001685,619.1285169998082,False,pythia-160m,none,4,pythia-160m_fp4,,1765394617.175332
True,200,611.9998409999425,608.7243749998379,608.7182460000804,False,pythia-160m,none,5,pythia-160m_fp5,,1765394617.7981546
True,200,733.177971999794,729.6808630003397,729.6735360000639,False,pythia-160m,none,6,pythia-160m_fp6,,1765394618.4105182
True,200,620.6253249997644,617.2487949997958,617.2451289999117,False,pythia-160m,none,7,pythia-160m_fp7,,1765394619.1438856
True,200,614.4680859997607,611.2698709998767,611.2667749998764,False,pythia-160m,none,8,pythia-160m_fp8,,1765394619.7646675
True,200,621.0160569999061,617.8060970000843,617.8026939996926,False,pythia-160m,none,9,pythia-160m_fp9,,1765394620.3795426
True,200,610.6526710000253,607.4251300001379,607.4221200001375,False,pythia-160m,none,10,pythia-160m_fp10,,1765394621.0007212
True,200,620.7036229998266,617.4705950002135,617.4668469998323,False,pythia-160m,none,11,pythia-160m_fp11,,1765394621.611691
True,200,617.268390999925,613.9786459998504,613.9749740000298,False,pythia-160m,none,12,pythia-160m_fp12,,1765394622.232542
True,200,613.6475590001282,610.6002989999979,610.5970309999975,False,pythia-160m,none,13,pythia-160m_fp13,,1765394622.8501678
True,200,630.7843170002343,627.5489689996903,627.5453039997956,False,pythia-160m,none,14,pythia-160m_fp14,,1765394623.4640315
True,200,610.0586960001237,606.8254000001616,606.8219100002352,False,pythia-160m,none,15,pythia-160m_fp15,,1765394624.0949662
True,200,619.5929860000433,616.5078049998556,616.5041730000667,False,pythia-160m,none,16,pythia-160m_fp16,,1765394624.7053828
True,200,613.994706000085,610.9113580000667,610.9077529999922,False,pythia-160m,none,17,pythia-160m_fp17,,1765394625.325323
True,200,611.2244930000088,608.1054180003775,608.1022080002185,False,pythia-160m,none,18,pythia-160m_fp18,,1765394625.9396458
True,200,619.7463019998395,616.6983110001638,616.6948220002268,False,pythia-160m,none,19,pythia-160m_fp19,,1765394626.551216
True,200,609.4204410001112,606.0382189998563,606.0345350001626,False,pythia-160m,none,20,pythia-160m_fp20,,1765394627.1714005
True,200,571.0884400000396,568.0701820001559,568.0673249999018,False,pythia-160m,none,21,pythia-160m_fp21,,1765394627.7809823
True,200,560.63098300001,557.8696240004319,557.8669540000192,False,pythia-160m,none,22,pythia-160m_fp22,,1765394628.3523824
True,200,560.435883000082,557.6129670002956,557.6099810000414,False,pythia-160m,none,23,pythia-160m_fp23,,1765394628.913439
True,200,570.9947409995948,567.9581619997407,567.955444999825,False,pythia-160m,none,24,pythia-160m_fp24,,1765394629.4740164
True,200,561.4702600000783,558.6555370000497,558.6526910001339,False,pythia-160m,none,25,pythia-160m_fp25,,1765394630.045374
True,200,575.7138419999137,572.8879470002539,572.8753380003582,False,pythia-160m,none,26,pythia-160m_fp26,,1765394630.6071985
True,200,560.8202980001806,557.7832910003053,557.7805249999983,False,pythia-160m,none,27,pythia-160m_fp27,,1765394631.1830575
True,200,559.4905670000117,556.3725169999998,556.3698030000523,False,pythia-160m,none,28,pythia-160m_fp28,,1765394631.7440214
True,200,571.6974480001227,568.8801430001149,568.8771290001569,False,pythia-160m,none,29,pythia-160m_fp29,,1765394632.303843
